@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.RandomProjection-N2-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1}

@data
527,1.732051,1.732051,1,cluster1
528,3.464102,1.732051,1,cluster1
529,1.732051,1.732051,1,cluster1
530,1.732051,1.732051,1,cluster1
531,3.464102,1.732051,0,cluster1
532,1.732051,0,1,cluster0
533,1.732051,1.732051,1,cluster1
534,0,0,0,cluster0
535,1.732051,1.732051,1,cluster1
536,1.732051,1.732051,1,cluster1
537,1.732051,0,1,cluster0
538,0,0,1,cluster0
539,1.732051,0,1,cluster0
540,0,0,1,cluster0
541,1.732051,0,1,cluster0
542,1.732051,0,1,cluster0
543,0,0,1,cluster0
544,0,0,1,cluster0
545,0,0,1,cluster0
546,1.732051,0,1,cluster0
547,0,0,0,cluster0
548,0,0,0,cluster0
549,1.732051,1.732051,0,cluster1
550,1.732051,0,1,cluster0
551,1.732051,0,1,cluster0
552,1.732051,0,1,cluster0
553,0,0,0,cluster0
554,1.732051,1.732051,1,cluster1
555,0,0,1,cluster0
556,1.732051,0,1,cluster0
557,0,0,1,cluster0
558,0,0,1,cluster0
559,0,0,1,cluster0
560,0,0,1,cluster0
561,1.732051,0,1,cluster0
562,0,0,1,cluster0
563,1.732051,0,1,cluster0
564,0,0,1,cluster0
565,1.732051,0,1,cluster0
566,1.732051,1.732051,1,cluster1
567,0,0,0,cluster0
568,1.732051,0,0,cluster0
569,1.732051,1.732051,0,cluster1
570,0,0,1,cluster0
571,0,0,1,cluster0
572,0,0,1,cluster0
573,0,0,1,cluster0
574,0,0,0,cluster0
575,1.732051,0,1,cluster0
576,1.732051,1.732051,1,cluster1
577,1.732051,0,1,cluster0
578,1.732051,0,1,cluster0
579,0,0,1,cluster0
580,1.732051,0,1,cluster0
581,0,0,0,cluster0
582,1.732051,1.732051,1,cluster1
583,1.732051,0,1,cluster0
584,0,0,0,cluster0
585,0,0,1,cluster0
586,1.732051,0,1,cluster0
587,3.464102,1.732051,1,cluster1
588,1.732051,0,1,cluster0
589,1.732051,0,1,cluster0
590,0,0,0,cluster0
591,1.732051,0,1,cluster0
592,0,0,1,cluster0
593,1.732051,0,1,cluster0
594,1.732051,0,0,cluster0
595,0,0,1,cluster0
596,0,0,1,cluster0
597,1.732051,1.732051,1,cluster1
598,0,0,1,cluster0
599,1.732051,1.732051,0,cluster1
600,1.732051,0,1,cluster0
601,1.732051,0,1,cluster0
602,0,0,1,cluster0
603,0,0,1,cluster0
604,1.732051,1.732051,1,cluster1
605,0,0,1,cluster0
