@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.Remove-R3-4_clustered

@attribute Instance_number numeric
@attribute Age numeric
@attribute Income numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
844,24,50000,1,cluster0
845,27,55000,1,cluster0
846,45,42000,0,cluster5
847,33,60000,1,cluster2
848,27,10000,1,cluster1
849,39,91000,0,cluster3
850,39,6000,0,cluster4
851,44,40000,1,cluster5
852,25,6000,0,cluster1
853,29,37000,0,cluster0
854,29,12000,1,cluster1
855,24,15000,1,cluster1
856,21,6000,1,cluster1
857,22,20000,1,cluster1
858,21,45000,1,cluster0
859,34,185000,1,cluster6
860,28,54000,1,cluster0
861,35,55000,1,cluster2
862,25,12000,1,cluster1
863,28,10000,1,cluster1
864,40,50000,1,cluster4
865,37,50000,1,cluster4
866,22,24000,0,cluster1
867,25,24000,1,cluster1
868,32,43200,1,cluster0
869,45,89000,1,cluster3
870,28,20000,1,cluster1
871,33,7200,1,cluster4
872,29,36000,1,cluster0
873,22,6000,1,cluster1
874,52,45000,1,cluster5
875,27,30000,0,cluster1
876,28,30000,1,cluster1
877,42,90000,0,cluster3
878,23,6000,0,cluster1
879,51,17500,1,cluster5
880,30,70000,1,cluster2
881,20,24000,1,cluster1
882,35,25000,1,cluster4
883,56,30000,1,cluster5
884,25,44400,0,cluster0
885,19,12000,1,cluster1
886,39,41000,0,cluster4
887,45,26000,1,cluster4
888,28,50000,1,cluster0
889,34,11000,1,cluster4
890,29,10000,1,cluster1
891,31,18000,1,cluster1
892,32,30000,1,cluster4
893,23,16000,1,cluster1
894,33,50000,1,cluster2
895,21,6800,1,cluster1
896,57,35000,1,cluster5
897,30,60000,1,cluster2
898,25,19200,1,cluster1
899,30,120000,1,cluster3
900,28,58000,1,cluster0
901,25,36000,1,cluster0
902,30,70000,1,cluster2
903,35,75000,1,cluster2
904,45,25000,0,cluster4
905,38,30000,1,cluster4
906,31,10000,1,cluster1
907,47,35000,0,cluster5
908,37,79000,1,cluster2
909,24,15000,1,cluster1
910,45,110000,1,cluster3
911,28,35000,1,cluster0
912,38,30000,1,cluster4
913,22,30000,1,cluster1
914,33,65000,1,cluster2
915,28,50000,1,cluster0
916,33,30000,1,cluster4
917,29,32000,1,cluster0
918,18,7500,1,cluster1
919,25,40000,1,cluster0
920,24,24000,1,cluster1
921,29,40000,1,cluster0
922,43,54000,1,cluster5
923,44,12000,1,cluster4
924,46,90000,1,cluster3
925,27,42000,1,cluster0
926,25,53500,0,cluster0
927,34,75000,1,cluster2
