Latitude, Aircraft.Damage, Longitude
33.8175, 2, -5
62.320278, 2, -7
47.53, 2, -6
44.173056, 2, -3
42.7375, 3, -4
39.5375, 2, -3
38.539444, 2, -3
39.908889, 2, -5
38.035277, 2, -6
42.217778, 2, -4
58.727223, 2, -7
28.5325, 2, -4
32.739722, 2, -4
20.773056, 2, -7
-23.280556, 3, -2
42.8075, 2, -4
62.201389, 2, -8
61.838333, 2, -7
58.732778, 2, -7
27.456389, 2, -4
36.589444, 2, -5
28.467223, 2, -4
30.072223, 2, -5
42.625278, 3, -3
34.207222, 2, -5
38.797222, 2, -3
1.851667, 2, -3
48.032778, 2, -6
33.200556, 2, -4
36.695833, 3, -4
43.678056, 2, -4
40.799444, 2, -3
-35.4, 2, -2
21.1, 2, -7
38.813889, 2, -5
39.122778, 1, -4
34.984444, 2, -4
-23.214444, 3, -2
-16, 3, 6
42.175834, 2, -3
43.035555, 2, -5
37.332778, 2, -6
41.33, 2, -6
40.841666, 2, -3
33.166667, 2, -4
33.221945, 2, -5
32.567223, 2, -4
33.284444, 2, -5
42.259167, 2, -4
46.023889, 3, -4
42.190555, 2, -3
42.5575, 2, -4
41.196666, 2, -5
36.03, 2, -5
41.108611, 2, -5
37.491944, 2, -3
43.592222, 2, -4
38.361944, 2, -3
40.099722, 2, -5
1.483333, 3, -3
31.454722, 2, -4
30.966667, 3, -4
38.804167, 2, -3
61.535, 1, -7
38.988889, 2, -5
30.5325, 2, -4
48.310556, 2, -5
40.113056, 2, 4
38.963611, 2, -4
37.886389, 2, -3
65.6975, 2, -7
-23.891111, 2, -2
31.642222, 3, -4
41.945277, 2, -4
38.97, 2, -3
44.6875, 2, -6
57.779723, 2, -6
28.5, 2, -4
35.12, 2, -5
33.900278, 3, -5
28.347222, 2, -4
34.95, 2, -3
38.289722, 2, -4
44.82, 2, -3
29.916945, 2, -4
27.713611, 2, -5
32.112222, 2, -5
34.455278, 2, -4
40.869167, 2, -5
50.729723, 2, 0
34.590277, 2, -4
32.821111, 2, -4
38.293889, 2, -4
34.213889, 2, -5
39.568611, 2, -5
33.015556, 3, -5
37.026389, 2, -6
37.768889, 2, -3
29.69, 2, -4
45.471111, 2, -5
36.192222, 2, -4
38.293611, 3, -3
30.038611, 1, -4
36.933056, 3, -4
77.351111, 2, -1
30.675278, 2, -4
36.7325, 2, -5
39.403333, 2, -6
36.345555, 3, -5
23.174445, 2, 5
47.452778, 2, -6
33.519723, 2, -4
39.99, 2, -3
27.490277, 2, -4
42.010278, 2, -4
46.502222, 2, -5
32.289444, 2, -5
37.509167, 1, -6
30.071111, 2, -4
40.334166, 2, -5
25.438055, 3, -4
32.651944, 2, 4
35.2975, 3, -4
38.373056, 2, -4
29.505, 2, -4
41.781389, 2, -6
26.538055, 2, -4
40.271667, 2, -3
47.3425, 2, -6
41.755, 2, -4
48.543889, 2, -5
36.691666, 3, -4
39.927223, 2, -3
38.505278, 2, -6
55.825, 2, -6
29.636944, 2, -5
42.028889, 2, -6
-11.793889, 2, -3
47.517778, 3, -6
37.828334, 2, -6
47.195555, 2, -6
34.833056, 2, -4
37.063056, 2, -6
38.489722, 2, -5
34.4075, 2, -5
38.622223, 3, -4
36.056111, 2, -3
34.341389, 2, -5
35.619167, 3, -4
29.18, 2, -4
40.164444, 3, -5
59.435555, 2, -7
37.766667, 2, -5
34.257222, 3, -4
39.098055, 3, -5
40.616945, 2, -3
44.827223, 2, -4
39.581667, 2, -6
37.093055, 2, -4
48.385, 2, -6
41.448611, 2, -4
33.45, 2, -5
43.189444, 2, -5
42.469723, 2, -3
41.635555, 3, -4
37.683333, 2, -6
42.5075, 2, -4
46.1, 2, -4
27.036389, 2, -4
34.513056, 2, -5
36.997222, 2, -6
41.153333, 2, -5
45.8075, 2, -5
27.485277, 3, -4
46.590833, 2, -5
43.496111, 2, -5
38.754722, 2, -5
43.516945, 1, -5
33.485555, 2, -4
38.088333, 2, -6
37.731111, 2, -5
37.491389, 2, -5
29.533611, 3, -4
20.957222, 2, -7
38.893889, 2, -5
26.1775, 2, -4
40.831111, 2, 5
50.466667, 2, -6
37.103889, 2, -3
36.659444, 2, -3
32.115833, 2, -5
41.430278, 3, -5
19.738611, 2, -7
38.026945, 2, -6
41.5825, 2, -4
30.360278, 3, -4
32.304444, 2, -4
47.4975, 2, -6
61.636666, 2, -7
29.18, 2, -4
30.983611, 2, -4
39.356667, 2, -4
41.128334, 2, -3
35.775556, 2, -5
28.0575, 2, -4
36.758056, 2, -3
28, 2, -4
37.515, 2, -5
33.128334, 3, -5
48.426389, 2, -5
34.690277, 2, -4
41.128056, 2, -3
41.577778, 2, -3
48.168889, 2, -5
38.968334, 2, -5
43.083333, 2, -3
41.106944, 2, -4
45.741944, 2, 0
39.493889, 3, -5
35.686666, 2, -4
33.465833, 2, -4
33.299166, 2, -5
39.570278, 2, -5
38.398055, 2, -3
33.363056, 3, -4
28.468889, 3, -4
